"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FN4C66UL","webpage","","","Landscape photo of mountain alps photo – Free Nature Image on Unsplash","","","","","https://unsplash.com/photos/landscape-photo-of-mountain-alps-vddccTqwal8?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-10-24 08:57:06","2024-10-24 08:57:06","2024-10-24 08:57:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9NELLRQ","webpage","","","Landscape photo of mountain alps photo – Free Nature Image on Unsplash","","","","","https://unsplash.com/photos/landscape-photo-of-mountain-alps-vddccTqwal8?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-10-24 08:57:06","2024-10-24 08:57:06","2024-10-24 08:57:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85QHESGM","webpage","2015","Unsplash","Photo by Luca Bravo on Unsplash","","","","","https://unsplash.com/photos/green-grass-on-mountain-near-sea-3Z70SDuYs5g","Return trip from Hana, Hawaii – Download this photo by Luca Bravo on Unsplash","2015-07-01","2024-10-23 15:59:52","2024-10-23 15:59:52","2024-10-23 15:59:52","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9CE8M8B","webpage","","","Photography of five assorted-color horses on grass field in front of mountain photo – Free Animal Image on Unsplash","","","","","https://unsplash.com/photos/photography-of-five-assorted-color-horses-on-grass-field-in-front-of-mountain-diMBLU4FzDQ?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-10-21 09:33:10","2024-10-21 09:33:10","2024-10-21 09:33:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6QB9H8I","webpage","2017","Unsplash","Photo by Christopher Burns on Unsplash","","","","","https://unsplash.com/photos/snow-covered-mountain-during-daytime-Y3PD_9c2xms","Being out on the edge, with everything at risk, is where you learn and grow the most. - Jim Whittaker – Download this photo by Christopher Burns on Unsplash","2017-01-21","2024-10-14 09:08:34","2024-10-14 09:08:34","2024-10-14 09:08:34","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\rapha\Zotero\storage\K7V592U5\snow-covered-mountain-during-daytime-Y3PD_9c2xms.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25XQTGZA","webpage","2017","Unsplash","Photo by Christopher Burns on Unsplash","","","","","https://unsplash.com/photos/snow-covered-mountain-during-daytime-Y3PD_9c2xms","Being out on the edge, with everything at risk, is where you learn and grow the most. - Jim Whittaker – Download this photo by Christopher Burns on Unsplash","2017-01-21","2024-10-14 09:08:11","2024-10-14 09:08:11","2024-10-14 09:08:11","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZK9YAQQJ","webpage","2017","Unsplash","Photo by Christopher Burns on Unsplash","","","","","https://unsplash.com/photos/snow-covered-mountain-during-daytime-Y3PD_9c2xms","Being out on the edge, with everything at risk, is where you learn and grow the most. - Jim Whittaker – Download this photo by Christopher Burns on Unsplash","2017-01-21","2024-10-14 09:08:08","2024-10-14 09:08:08","2024-10-14 09:08:08","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZCP4LFE","webpage","2017","Unsplash","Photo by Samuel Ferrara on Unsplash","","","","","https://unsplash.com/photos/aerial-photo-of-foggy-mountains-1527pjeb6jg","Download this photo by Samuel Ferrara on Unsplash","2017-10-02","2024-10-02 14:18:14","2024-10-02 14:18:14","2024-10-02 14:18:14","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVJ7BMZN","webpage","","","Top view photography of trees near body of water photo – Free Lake tahoe Image on Unsplash","","","","","https://unsplash.com/photos/top-view-photography-of-trees-near-body-of-water-hCrWuFLB3IU?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-10-02 12:08:25","2024-10-02 12:08:25","2024-10-02 12:08:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGQI4PEW","webpage","","","Snow capped mountain under white clouds in mirror reflection photography photo – Free Nature Image on Unsplash","","","","","https://unsplash.com/photos/snow-capped-mountain-under-white-clouds-in-mirror-reflection-photography-SmAiLn-nnJg?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-09-27 12:34:50","2024-09-27 12:34:50","2024-09-27 12:34:50","","","","","","","","","","","","","","","","","","","","","","","C:\Users\rapha\Zotero\storage\SV8VATET\snow-capped-mountain-under-white-clouds-in-mirror-reflection-photography-SmAiLn-nnJg.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADHSK2BD","webpage","","","Snow capped mountain under white clouds in mirror reflection photography photo – Free Nature Image on Unsplash","","","","","https://unsplash.com/photos/snow-capped-mountain-under-white-clouds-in-mirror-reflection-photography-SmAiLn-nnJg?utm_source=Start&utm_medium=referral&utm_campaign=api-credit","","","2024-09-27 12:34:41","2024-09-27 12:34:41","2024-09-27 12:34:41","","","","","","","","","","","","","","","","","","","","","","","C:\Users\rapha\Zotero\storage\K8IQ9RC7\snow-capped-mountain-under-white-clouds-in-mirror-reflection-photography-SmAiLn-nnJg.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4TNSEEL","webpage","2018","Unsplash","Photo by Ferhat Deniz Fors on Unsplash","","","","","https://unsplash.com/photos/body-of-water-photo-Ref87M0aSDM","Download this photo by Ferhat Deniz Fors on Unsplash","2018-03-13","2024-09-16 08:55:31","2024-09-16 08:55:31","2024-09-16 08:55:31","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\rapha\Zotero\storage\TCFUBZYJ\body-of-water-photo-Ref87M0aSDM.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
